What ancient civilization developed the concept of zero independently of other cultures? | The Maya civilization
What is the term for the phenomenon where a person experiences a sudden, intense feeling of fear or dread without an apparent cause? | Panic attack
What is the name of the first commercial jet airliner, introduced in 1952? | De Havilland Comet
What is the name of the sacred text in Zoroastrianism? | Avesta
What is the name of the longest mountain range in the world? | The Andes
What is the term for the medical condition characterized by an abnormal increase in the number of red blood cells? | Polycythemia
What novel by Gabriel García Márquez is considered a seminal work of magical realism? | One Hundred Years of Solitude
What is the term for a bicycle race that takes place over multiple stages, often lasting several weeks? | Grand Tour
What is the name of the only player to have won three FIFA World Cup titles? | Pelé
What is the name of the process by which carbon is transferred from the atmosphere to the Earth's surface? | Carbon sequestration
What is the name of the mathematical theorem that states that any non-prime number can be expressed as a unique product of prime numbers? | Fundamental Theorem of Arithmetic
What is the most widely spoken language in the world by total number of speakers? | Mandarin Chinese
What video game is known for its iconic phrase "All your base are belong to us"? | Zero Wing
What psychological term describes the tendency to attribute one's own actions to external factors while attributing others' actions to internal factors? | Fundamental attribution error
What is the name of the theater technique where actors perform without a script, creating the story as they go? | Improvisation
What is the term for the economic theory that advocates for minimal government intervention in the economy? | Laissez-faire economics
What is the name of the phenomenon where a person experiences a sudden, intense feeling of déjà vu? | Déjà vu
What is the name of the first commercial jet airliner to break the sound barrier? | Concorde
What is the name of the sacred text in Sikhism? | Guru Granth Sahib
What is the name of the largest desert in Asia? | Gobi Desert
What is the term for the medical condition characterized by an abnormal decrease in the number of white blood cells? | Leukopenia
What novel by Fyodor Dostoevsky explores the psychological and moral dilemmas of its protagonist, Raskolnikov? | Crime and Punishment
What is the term for a bicycle race that takes place on a closed circuit, often with multiple laps? | Criterium
What is the name of the only player to have scored in four different FIFA World Cup tournaments? | Pelé
What is the name of the process by which plants convert sunlight into chemical energy? | Photosynthesis
What is the name of the mathematical concept that describes a surface with only one side and one edge? | Möbius strip
What is the most widely spoken language in the European Union? | German
What video game is known for its iconic phrase "It's dangerous to go alone! Take this"? | The Legend of Zelda
What psychological term describes the tendency to remember the first and last items in a list better than the middle items? | Serial position effect
What is the name of the theater technique where actors perform in a highly stylized, exaggerated manner? | Expressionism
What is the term for the economic theory that advocates for government control of the means of production? | Socialism
What is the name of the phenomenon where a person experiences a sudden, intense feeling of fear or dread without an apparent cause? | Panic attack
What is the name of the first commercial jet airliner to be powered by turbofan engines? | Boeing 707
What is the name of the sacred text in Jainism? | Agamas
What is the name of the largest desert in Africa? | Sahara Desert
What is the term for the medical condition characterized by an abnormal increase in the number of white blood cells? | Leukocytosis
What novel by Leo Tolstoy is considered one of the greatest works of literature ever written? | War and Peace
What is the term for a bicycle race that takes place on a track, often with steeply banked turns? | Velodrome racing
What is the name of the only player to have won the FIFA World Cup as both a player and a coach? | Mário Zagallo
What is the name of the process by which plants release oxygen into the atmosphere? | Photosynthesis
Which ancient civilization developed the concept of zero independently of other cultures, and what was their name for it? | The Maya civilization developed the concept of zero, calling it "Nik."
In Greek mythology, who was the only mortal Gorgon sister, and what was her fate? | Medusa was the only mortal Gorgon sister, and she was beheaded by Perseus.
What is the term for the phenomenon where light bends around a massive object, as predicted by Einstein's theory of general relativity? | Gravitational lensing.
Which 19th-century architect designed the iconic Flatiron Building in New York City? | Daniel Burnham.
What is the name of the musical technique where a melody is played backward, and which composer famously used it in his works? | Retrograde, used by composers like Johann Sebastian Bach.
In culinary arts, what is the French term for the process of letting dough rest and rise before baking? | Autolyse.
Which film director pioneered the use of "bullet time" visual effects in The Matrix? | The Wachowskis.
What was the name of the first artificial satellite launched into space, and which country launched it? | Sputnik 1, launched by the Soviet Union.
Which philosopher is known for the concept of the "categorical imperative" in moral philosophy? | Immanuel Kant.
In sports, what is the term for a score of three under par on a single hole in golf? | Albatross.
Which fashion designer introduced the "little black dress" in the 1920s? | Coco Chanel.
What is the name of the process by which plants convert sunlight into chemical energy? | Photosynthesis.
In mathematics, what is the name of the theorem that states that no three positive integers a, b, and c satisfy the equation aⁿ + bⁿ = cⁿ for any integer value of n greater than 2? | Fermat's Last Theorem.
Which language is considered the oldest continuously spoken language in the world? | Tamil.
In video games, what is the name of the fictional universe where The Legend of Zelda series takes place? | Hyrule.
What psychological phenomenon describes the tendency to remember uncompleted tasks better than completed ones? | The Zeigarnik Effect.
Which playwright wrote Waiting for Godot, a seminal work in the Theater of the Absurd? | Samuel Beckett.
What economic term describes the situation where one party has more information than another, leading to an imbalance in transactions? | Asymmetric information.
In paranormal studies, what is the term for the alleged ability to perceive events or objects beyond normal sensory contact? | Extrasensory perception (ESP).
What was the first commercially successful steam locomotive, and who designed it? | The Rocket, designed by George Stephenson.
Which world religion believes in the concept of "karma" and the cycle of rebirth known as "samsara"? | Hinduism.
What is the name of the deepest known point in the Earth's oceans, and where is it located? | The Challenger Deep, located in the Mariana Trench.
Who is considered the father of modern medicine and authored the Hippocratic Oath? | Hippocrates.
Which novel by James Joyce is known for its stream-of-consciousness narrative style? | Ulysses.
In cycling, what is the term for the aerodynamic position where a rider tucks their body close to the handlebars? | The drops.
Which football club is known as "The Red Devils" and is based in Manchester, England? | Manchester United.
What ancient city was famously destroyed by the eruption of Mount Vesuvius in 79 AD? | Pompeii.
In science, what is the name of the hypothetical particle that is its own antiparticle? | Majorana fermion.
Which mythological figure is known for solving the riddle of the Sphinx in Greek mythology? | Oedipus.
What is the name of the first programmable computer, and who designed it? | The Z1, designed by Konrad Zuse.
Which artist painted the ceiling of the Sistine Chapel, and how long did it take him to complete? | Michelangelo, and it took him approximately four years.
What is the term for a musical composition that is meant to evoke images or tell a story without using words? | Program music.
In culinary arts, what is the name of the Japanese technique of grilling food over charcoal? | Yakitori.
Which film won the first Academy Award for Best Picture in 1929? | Wings.
What is the name of the first human-made object to leave the solar system? | Voyager 1.
Which philosopher is known for the statement "I think, therefore I am"? | René Descartes.
In sports, what is the term for a score of two under par on a single hole in golf? | Eagle.
Which fashion designer is credited with inventing the wrap dress in the 1970s? | Diane von Fürstenberg.
What is the name of the process by which carbon is cycled through the Earth's atmosphere, oceans, and land? | The carbon cycle.
In mathematics, what is the name of the constant that represents the ratio of a circle's circumference to its diameter? | Pi (π).
Which language is considered the most widely spoken constructed language in the world? | Esperanto.
In video games, what is the name of the protagonist in the Metroid series? | Samus Aran.
What psychological term describes the phenomenon where people tend to conform to the behavior of a group? | Groupthink.
Which playwright wrote A Streetcar Named Desire? | Tennessee Williams.
What economic term describes the total value of goods and services produced by a country in a year? | Gross Domestic Product (GDP).
In paranormal studies, what is the term for the alleged ability to move objects with the mind? | Telekinesis.
What was the name of the first successful commercial jet airliner? | The Boeing 707.
Which world religion is centered around the teachings of Siddhartha Gautama? | Buddhism.
What is the name of the longest river in the world, and how long is it? | The Nile River, approximately 6,650 kilometers long.
Who is known as the father of modern surgery and introduced antiseptic techniques? | Joseph Lister.
Which novel by Gabriel García Márquez is a seminal work of magical realism? | One Hundred Years of Solitude.
In cycling, what is the term for the steepest part of a climb? | The wall.
Which football club is known as "The Blues" and is based in London, England? | Chelsea FC.
What ancient civilization built the city of Machu Picchu? | The Inca civilization.
In science, what is the name of the particle that mediates the force of gravity? | Graviton (hypothetical).
Which mythological figure is known for his twelve labors in Greek mythology? | Heracles (Hercules).
What is the name of the first electronic general-purpose computer? | ENIAC.
Which artist is known for painting The Starry Night? | Vincent van Gogh.
What is the term for a musical composition that is written for a solo instrument accompanied by an orchestra? | Concerto.
In culinary arts, what is the name of the French technique of cooking food slowly in fat at low temperatures? | Confit.
Which film is known for the line "Here's looking at you, kid"? | Casablanca.
What is the name of the first human to orbit the Earth? | Yuri Gagarin.
Which philosopher is known for the concept of the "will to power"? | Friedrich Nietzsche.
In sports, what is the term for a score of one under par on a single hole in golf? | Birdie.
Which fashion designer is known for the "New Look" in post-World War II fashion? | Christian Dior.
What is the name of the process by which nitrogen is converted into ammonia in the soil? | Nitrogen fixation.
In mathematics, what is the name of the theorem that states that the sum of the squares of the legs of a right triangle equals the square of the hypotenuse? | The Pythagorean theorem.
Which language is considered the most widely spoken native language in the world? | Mandarin Chinese.
In video games, what is the name of the fictional currency in The Legend of Zelda series? | Rupees.
What psychological term describes the phenomenon where people tend to remember the first and last items in a list better than the middle items? | The serial position effect.
Which playwright wrote Death of a Salesman? | Arthur Miller.
What economic term describes the situation where inflation and unemployment rise simultaneously? | Stagflation.
In paranormal studies, what is the term for the alleged ability to communicate with the dead? | Necromancy.
What was the name of the first supersonic passenger airliner? | Concorde.
Which world religion is centered around the teachings of the Prophet Muhammad? | Islam.
What is the name of the largest desert in the world, and where is it located? | The Antarctic Desert, located in Antarctica.
Who is known as the father of modern anatomy and authored De humani corporis fabrica? | Andreas Vesalius.
Which novel by Fyodor Dostoevsky explores the psychological and moral dilemmas of its protagonist, Raskolnikov? | Crime and Punishment.
In cycling, what is the term for the final sprint to the finish line? | The bunch sprint.
Which football club is known as "The Gunners" and is based in London, England? | Arsenal FC.
What ancient civilization built the Great Pyramid of Giza? | The ancient Egyptians.
In science, what is the name of the particle that is believed to give other particles mass? | The Higgs boson.
Which mythological figure is known for his role in the Trojan War and his vulnerable heel? | Achilles.
What is the name of the first computer virus to spread in the wild? | The Elk Cloner.
Which artist is known for the sculpture David? | Michelangelo.
What is the term for a musical composition that is written for a small group of instruments? | Chamber music.
In culinary arts, what is the name of the Italian technique of cooking pasta until it is firm to the bite? | Al dente.
Which film is known for the line "May the Force be with you"? | Star Wars.
What is the name of the first woman to travel to space? | Valentina Tereshkova.
Which philosopher is known for the concept of the "veil of ignorance" in justice theory? | John Rawls.
In sports, what is the term for a score of even par on a single hole in golf? | Par.
Which fashion designer is known for the "little black dress" and the Chanel suit? | Coco Chanel.
What is the name of the process by which water is cycled through the Earth's atmosphere, oceans, and land? | The water cycle.
In mathematics, what is the name of the theorem that states that any non-prime number can be expressed as a unique product of prime numbers? | The Fundamental Theorem of Arithmetic.
Which language is considered the most widely spoken Romance language in the world? | Spanish.
In video games, what is the name of the fictional universe where The Elder Scrolls series takes place? | Tamriel.
What psychological term describes the phenomenon where people tend to overestimate the importance of information that is readily available to them? | The availability heuristic.
Which playwright wrote The Crucible? | Arthur Miller.
What economic term describes the situation where a country's currency loses value rapidly? | Hyperinflation.
In paranormal studies, what is the term for the alleged ability to see events before they happen? | Precognition.
